time,deme_count,iteration,total_steps,total_evals,microseconds,new_instances,num_instances,inst_RAM,num_evals,has_improved,best_weighted_score,delta_weighted,best_raw,delta_raw,complexity
0.0,1,1,1,1,183,1,1,6.10352e-05,1,1,-16,3.40282e+38,-16,3.40282e+38,0
0.032,1,2,2,321,32006,320,321,0.0195923,321,0,-16,0,-16,0,0
0.049,1,3,3,441,16889,120,441,0.0269165,441,0,-16,0,-16,0,0
1.132,2,1,4,442,309,1,1,7.62939e-05,1,1,-16.2857,3.40282e+38,-16,3.40282e+38,1
1.2,2,2,5,858,68417,416,417,0.0318146,417,0,-16,0.285715,-16,0,0
1.218,2,3,6,978,18047,120,537,0.0409698,537,0,-16,0,-16,0,0
2.304,3,1,7,979,214,1,1,7.62939e-05,1,1,-16.2857,3.40282e+38,-16,3.40282e+38,1
2.368,3,2,8,1385,63744,406,407,0.0310516,407,1,-12.5714,3.71429,-12,4,2
2.388,3,3,9,1505,20293,120,527,0.0402069,527,0,-12.2857,0.285714,-12,0,1
3.425,4,1,10,1506,232,1,1,7.62939e-05,1,1,-12.2857,3.40282e+38,-12,3.40282e+38,1
3.49,4,2,11,1916,64757,410,411,0.0313568,411,0,-12.2857,0,-12,0,1
3.511,4,3,12,2036,21885,120,531,0.0405121,531,0,-12.2857,0,-12,0,1
4.713,5,1,13,2037,289,1,1,7.62939e-05,1,1,-12.5714,3.40282e+38,-12,3.40282e+38,2
4.799,5,2,14,2463,85861,426,427,0.0325775,427,0,-12.2857,0.285714,-12,0,1
4.819,5,3,15,2583,19616,120,547,0.0417328,547,0,-12.2857,0,-12,0,1
6.042,6,1,16,2584,284,1,1,7.62939e-05,1,1,-12.5714,3.40282e+38,-12,3.40282e+38,2
6.128,6,2,17,3015,85755,431,432,0.032959,432,1,-11.8571,0.714285,-11,1,3
6.151,6,3,18,3135,23467,120,552,0.0421143,552,0,-11.5714,0.285715,-11,0,2
7.269,7,1,19,3136,281,1,1,7.62939e-05,1,1,-11.5714,3.40282e+38,-11,3.40282e+38,2
7.35,7,2,20,3556,80997,420,421,0.0321198,421,1,-10.8571,0.714285,-10,1,3
7.379,7,3,21,3676,29207,120,541,0.041275,541,0,-10.8571,0,-10,0,3
9.455,8,1,22,3677,576,1,1,0.00012207,1,1,-11.1429,3.40282e+38,-10,3.40282e+38,4
9.747,8,2,23,4452,291981,775,776,0.0947266,776,0,-10.8571,0.285714,-10,0,3
9.787,8,3,24,4572,40736,120,896,0.109375,896,0,-10.8571,0,-10,0,3
11.888,9,1,25,4573,442,1,1,0.000114441,1,1,-10.8571,3.40282e+38,-10,3.40282e+38,3
12.108,9,2,26,5299,220002,726,727,0.0831985,727,0,-10.8571,0,-10,0,3
12.144,9,3,27,5419,35912,120,847,0.0969315,847,0,-10.8571,0,-10,0,3
14.21,10,1,28,5420,491,1,1,0.000114441,1,1,-10.8571,3.40282e+38,-10,3.40282e+38,3
14.459,10,2,29,6147,249200,727,728,0.083313,728,0,-10.8571,0,-10,0,3
14.497,10,3,30,6267,37853,120,848,0.0970459,848,0,-10.8571,0,-10,0,3
16.562,11,1,31,6268,497,1,1,0.000114441,1,1,-10.8571,3.40282e+38,-10,3.40282e+38,3
16.811,11,2,32,6995,249502,727,728,0.083313,728,0,-10.8571,0,-10,0,3
16.849,11,3,33,7115,37742,120,848,0.0970459,848,0,-10.8571,0,-10,0,3
18.879,12,1,34,7116,439,1,1,0.000114441,1,1,-10.8571,3.40282e+38,-10,3.40282e+38,3
19.095,12,2,35,7827,215550,711,712,0.0814819,712,1,-10.1429,0.714286,-9,1,4
19.13,12,3,36,7947,35242,120,832,0.0952148,832,0,-10.1429,0,-9,0,4
21.152,13,1,37,7948,488,1,1,0.000114441,1,1,-10.1429,3.40282e+38,-9,3.40282e+38,4
21.412,13,2,38,8704,259926,756,757,0.0866318,757,0,-10.1429,0,-9,0,4
21.456,13,3,39,8824,44948,120,877,0.100365,877,0,-10.1429,0,-9,0,4
24.424,14,1,40,8825,571,1,1,0.000152588,1,1,-10.1429,3.40282e+38,-9,3.40282e+38,4
24.849,14,2,41,9908,425330,1083,1084,0.165405,1084,1,-7.71429,2.42857,-6,3,6
24.901,14,3,42,10028,51435,120,1204,0.183716,1204,0,-7.71429,0,-6,0,6
